,Unnamed: 0,patent_number,uspc_class,claim_no,total_word_ct,total_char_ct,average_word_ct_eachclaim,average_char_ct_eachclaim
22,22,RE30525,074,29,32068,227552,1106,7847
29,29,RE30135,074,50,41511,269290,830,5386
51,51,RE29872,074,13,1275,7787,98,599
94,94,RE30334,074,5,4294,28723,859,5745
122,122,RE30120,074,20,5351,32758,268,1638
133,133,RE29993,074,1,1763,11191,1763,11191
303,303,RE30440,074,13,2888,16858,222,1297
316,316,RE30423,074,4,798,6019,200,1505
674,674,RE30981,074,69,4750,29076,69,421
761,761,RE30932,074,1,1435,8887,1435,8887
805,805,RE31296,074,11,6242,40326,567,3666
813,813,RE31154,074,3,990,6529,330,2176
1267,1267,RE31196,074,6,658,4146,110,691
1317,1317,RE32125,074,67,93064,601552,1389,8978
1514,1514,RE31627,074,12,2796,17714,233,1476
1602,1602,RE31361,074,12,834,5303,70,442
1732,1732,RE31451,074,49,5604,35973,114,734
1886,1886,RE31956,074,13,576,3890,44,299
1904,1904,RE31713,074,8,463,2799,58,350
1971,1971,RE32175,074,10,740,4785,74,478
2262,2262,RE32546,074,9,799,4781,89,531
2373,2373,RE32433,074,11,616,4020,56,365
2885,2885,RE33058,074,68,7175,42988,106,632
2897,2897,RE33126,074,10,1083,6900,108,690
3359,3359,RE33551,074,6,406,2626,68,438
3500,3500,RE33950,074,11,2115,14618,192,1329
3552,3552,RE34064,074,26,1546,9707,59,373
3580,3580,RE34023,074,2,822,5189,411,2594
3658,3658,RE34260,074,21,13952,91273,664,4346
3743,3743,RE34493,074,36,3325,19895,92,553
3806,3806,RE34146,074,16,1035,6771,65,423
3866,3866,RE34142,074,10,1138,7514,114,751
3891,3891,RE34359,074,11,2509,15327,228,1393
4047,4047,RE34565,074,1,260,1849,260,1849
4793,4793,RE35425,074,10,904,5617,90,562
5363,5363,RE39487,074,77,7147,43898,93,570
6110,6110,RE38691,074,38,3270,21010,86,553
6173,6173,RE39327,074,33,2170,13168,66,399
6211,6211,RE36722,074,23,18765,118237,816,5141
7033,7033,RE38615,074,27,2121,13472,79,499
7044,7044,RE37731,074,5,519,3557,104,711
7822,7822,RE42607,074,57,3313,19986,58,351
7835,7835,RE44839,074,59,2880,16790,49,285
7991,7991,RE39757,074,8,578,3583,72,448
8408,8408,RE42767,074,10,620,3550,62,355
8487,8487,RE39598,074,11,1878,12326,171,1121
8488,8488,RE39669,074,18,1133,6945,63,386
8686,8686,RE39440,074,18,1763,10680,98,593
8820,8820,RE40615,074,52,1671,9957,32,191
9777,9777,RE43074,074,19,1868,11587,98,610
